user_id;question_id;answer
17966;TE3;2️⃣
17966;TE4;2️⃣
17966;TE5;1️⃣
17966;TE6;1️⃣
17966;TE7;4️⃣
17966;TE8;3️⃣
17966;TE9;2️⃣
17971;DC1;1️⃣
17971;DC10;1️⃣
17971;DC2;🤷‍♂️
17971;DC3;1️⃣
17971;DC4;2️⃣
17971;DC5;2️⃣
17971;DC6;2️⃣
17971;DC7;2️⃣
17971;DC8;1️⃣
17971;DC9;2️⃣
17971;FI1;3️⃣
17971;FI2;1️⃣
17971;FI3;3️⃣
17971;FI4;1️⃣
17971;FI5;4️⃣
17971;FI6;1️⃣
17971;II2;2️⃣
17971;OE1;4️⃣
17971;OE2;2️⃣
17971;OE3;3️⃣
17971;OE4;2️⃣
17971;OE5;2️⃣
17971;OE6;1️⃣
17971;OE7;2️⃣
17971;OE8;1️⃣
17971;TE1;5️⃣
17971;TE10;3️⃣
17971;TE2;2️⃣
17971;TE3;3️⃣
17971;TE4;4️⃣
17971;TE5;1️⃣
17971;TE6;5️⃣
17971;TE7;3️⃣
17971;TE8;2️⃣
17971;TE9;2️⃣
17972;DC1;1️⃣
17972;DC10;🤷‍♂️
17972;DC2;1️⃣
17972;DC3;1️⃣
17972;DC4;1️⃣
17972;DC5;1️⃣
17972;DC6;1️⃣
17972;DC7;1️⃣
17972;DC8;2️⃣
17972;DC9;2️⃣
17972;FI1;2️⃣
17972;FI2;1️⃣
17972;FI3;1️⃣
17972;FI4;1️⃣
17972;FI5;4️⃣
17972;FI6;4️⃣
17972;II2;1️⃣
17972;OE1;2️⃣
17972;OE2;1️⃣
17972;OE3;1️⃣
17972;OE4;2️⃣
17972;OE5;3️⃣
17972;OE6;4️⃣
17972;OE7;2️⃣
17972;OE8;1️⃣
17972;TE1;2️⃣
17972;TE10;3️⃣
17972;TE2;1️⃣
17972;TE3;2️⃣
17972;TE4;2️⃣
17972;TE5;2️⃣
17972;TE6;2️⃣
17972;TE7;4️⃣
17972;TE8;🤷‍♂️
17972;TE9;1️⃣
17974;DC1;1️⃣
17974;DC10;2️⃣
17974;DC2;2️⃣
17974;DC3;2️⃣
17974;DC4;1️⃣
17974;DC5;2️⃣
17974;DC6;3️⃣
17974;DC7;2️⃣
17974;DC8;2️⃣
17974;DC9;2️⃣
17974;FI1;2️⃣
17974;FI2;1️⃣
17974;FI3;6️⃣
17974;FI4;1️⃣
17974;FI5;2️⃣
17974;FI6;2️⃣
17974;II2;1️⃣
17974;TE10;3️⃣
17974;TE2;2️⃣
17974;TE3;1️⃣
17974;TE4;2️⃣
17974;TE5;2️⃣
17974;TE6;2️⃣
17974;TE7;3️⃣
17974;TE8;2️⃣
17974;TE9;2️⃣
17979;FI1;3️⃣
17983;FI1;2️⃣
17983;FI2;4️⃣
17983;FI3;🔟
17983;FI4;4️⃣
17983;FI5;5️⃣
17983;FI6;2️⃣
17983;OE1;1️⃣
17983;OE2;3️⃣
17983;OE3;1️⃣
17983;OE4;1️⃣
17983;OE5;2️⃣
17983;OE6;4️⃣
17983;OE7;2️⃣
17983;OE8;1️⃣
17983;TE1;1️⃣
17983;TE10;1️⃣
17983;TE2;1️⃣
17983;TE3;1️⃣
17983;TE4;1️⃣
17983;TE5;1️⃣
17983;TE6;6️⃣
17983;TE7;2️⃣
17983;TE8;2️⃣
17983;TE9;3️⃣
17996;FI1;3️⃣
17996;FI2;4️⃣
17996;FI3;🔟
17996;FI4;4️⃣
17996;FI5;5️⃣
17996;FI6;2️⃣
17996;TE1;2️⃣
17996;TE10;1️⃣
17996;TE2;2️⃣
17996;TE3;2️⃣
17996;TE4;2️⃣
17996;TE5;3️⃣
17996;TE6;2️⃣
17996;TE7;3️⃣
17996;TE8;3️⃣
17996;TE9;3️⃣
18005;TE1;1️⃣
18005;TE10;3️⃣
18005;TE2;2️⃣
18005;TE3;4️⃣
18005;TE4;4️⃣
18005;TE5;2️⃣
18005;TE6;2️⃣
18005;TE7;4️⃣
18005;TE8;2️⃣
18005;TE9;1️⃣
18006;FI1;4️⃣
18006;FI2;1️⃣
18006;FI3;2️⃣
18006;FI4;1️⃣
18006;FI5;2️⃣
18006;FI6;4️⃣
18006;OE1;4️⃣
18006;OE2;1️⃣
18006;OE3;2️⃣
18006;OE4;4️⃣
18006;OE5;3️⃣
18006;OE6;1️⃣
18006;OE7;1️⃣
18006;OE8;2️⃣
18007;FI1;4️⃣
18007;FI2;1️⃣
18007;FI3;1️⃣
18007;FI4;1️⃣
18007;FI5;5️⃣
18007;FI6;4️⃣
18008;OE1;1️⃣
18008;OE2;1️⃣
18008;OE3;2️⃣
18008;OE4;4️⃣
18008;OE5;3️⃣
18008;OE6;1️⃣
18008;OE7;2️⃣
18008;OE8;1️⃣
18010;FI1;2️⃣
18010;FI2;1️⃣
18010;FI3;1️⃣
18010;FI4;1️⃣
18010;FI5;4️⃣
18010;FI6;4️⃣
18013;DC1;2️⃣
18013;DC10;1️⃣
18013;DC2;1️⃣
18013;DC3;1️⃣
18013;DC4;2️⃣
18013;DC5;4️⃣
18013;DC6;1️⃣
18013;DC7;🤷‍♂️
18013;DC8;2️⃣
18013;DC9;1️⃣
18013;FI1;2️⃣
18013;FI2;4️⃣
18013;FI3;6️⃣
18013;FI4;1️⃣
18013;FI5;4️⃣
18013;FI6;4️⃣
18013;II2;1️⃣
18014;FI1;4️⃣
18014;FI2;1️⃣
18014;FI3;1️⃣
18014;FI4;1️⃣
18014;FI5;4️⃣
18014;FI6;4️⃣
18014;OE1;2️⃣
18014;OE2;1️⃣
18014;OE3;2️⃣
18014;OE4;3️⃣
18014;OE5;1️⃣
18014;OE6;2️⃣
18014;OE7;1️⃣
18014;OE8;2️⃣
18017;FI1;2️⃣
18017;FI2;🤷‍♂️
18017;FI3;3️⃣
18017;FI4;1️⃣
18017;FI5;5️⃣
18017;FI6;2️⃣
18018;II2;3️⃣
18019;DC1;1️⃣
18019;DC10;3️⃣
18019;DC2;1️⃣
18019;DC3;1️⃣
18019;DC4;4️⃣
18019;DC5;1️⃣
18019;DC6;1️⃣
18019;DC7;1️⃣
18019;DC8;🤷‍♂️
18019;DC9;4️⃣
18019;FI1;1️⃣
18019;FI2;1️⃣
18019;FI3;3️⃣
18019;FI4;1️⃣
18019;FI5;5️⃣
18019;FI6;4️⃣
18021;DC1;1️⃣
18021;DC10;3️⃣
18021;DC2;1️⃣
18021;DC3;1️⃣
18021;DC4;2️⃣
18021;DC5;1️⃣
18021;DC6;1️⃣
18021;DC7;1️⃣
18021;DC8;2️⃣
18021;DC9;4️⃣
18021;FI1;3️⃣
18021;FI2;🤷‍♂️
18021;FI3;8️⃣
18021;FI4;1️⃣
18021;FI5;4️⃣
18021;FI6;4️⃣
18028;DC1;1️⃣
18028;DC10;3️⃣
18028;DC2;1️⃣
18028;DC3;1️⃣
18028;DC4;1️⃣
18028;DC5;1️⃣
18028;DC6;1️⃣
18028;DC7;1️⃣
18028;DC8;2️⃣
18028;DC9;1️⃣
18028;II2;1️⃣
18030;DC1;2️⃣
18030;DC10;2️⃣
18030;DC2;4️⃣
18030;DC3;2️⃣
18030;DC4;4️⃣
18030;DC5;4️⃣
18030;DC6;3️⃣
18030;DC7;4️⃣
18030;DC8;🤷‍♂️
18030;DC9;4️⃣
18030;FI1;1️⃣
18030;FI2;1️⃣
18030;FI3;🔟
18030;FI4;1️⃣
18030;FI5;2️⃣
18030;FI6;3️⃣
18030;II2;1️⃣
18030;OE1;1️⃣
18030;OE2;1️⃣
18030;OE3;3️⃣
18030;OE4;1️⃣
18030;OE5;2️⃣
18030;OE6;1️⃣
18030;OE7;1️⃣
18030;OE8;2️⃣
18030;TE1;3️⃣
18030;TE10;3️⃣
18030;TE2;3️⃣
18030;TE3;3️⃣
18030;TE4;3️⃣
18030;TE5;1️⃣
18030;TE6;2️⃣
18030;TE7;3️⃣
18030;TE8;🤷‍♂️
18030;TE9;3️⃣
18032;FI1;2️⃣
18032;FI2;4️⃣
18032;FI3;1️⃣
18032;FI4;1️⃣
18032;FI5;5️⃣
18032;FI6;3️⃣
18047;FI1;2️⃣
18047;FI2;1️⃣
18047;FI3;2️⃣
18047;FI4;1️⃣
18047;FI5;1️⃣
18047;FI6;3️⃣
18047;II2;2️⃣
18047;OE1;1️⃣
18047;OE2;2️⃣
18047;OE3;3️⃣
18047;OE4;2️⃣
18047;OE5;2️⃣
18047;OE6;3️⃣
18047;OE7;1️⃣
18047;OE8;2️⃣
18047;TE1;1️⃣
18047;TE10;2️⃣
18047;TE2;1️⃣
18047;TE3;2️⃣
18047;TE4;2️⃣
18047;TE5;1️⃣
18047;TE6;1️⃣
18047;TE7;3️⃣
18047;TE8;1️⃣
18047;TE9;2️⃣
18050;FI1;3️⃣
18050;FI2;1️⃣
18050;FI3;2️⃣
18050;FI4;1️⃣
18050;FI5;4️⃣
18050;FI6;4️⃣
18051;DC1;1️⃣
18051;DC10;2️⃣
18051;DC2;4️⃣
18051;DC3;1️⃣
18051;DC4;1️⃣
18051;DC5;1️⃣
18051;DC6;1️⃣
18051;DC7;1️⃣
18051;DC8;1️⃣
18051;DC9;1️⃣
18051;FI1;3️⃣
18051;FI2;1️⃣
18051;FI3;5️⃣
18051;FI4;1️⃣
18051;FI5;1️⃣
18051;FI6;4️⃣
18051;II2;1️⃣
18051;OE1;4️⃣
18051;OE2;2️⃣
18051;OE3;1️⃣
18051;OE4;3️⃣
18051;OE5;3️⃣
18051;OE6;4️⃣
18051;OE7;2️⃣
18051;OE8;1️⃣
18051;TE1;2️⃣
18051;TE10;2️⃣
18051;TE2;1️⃣
18051;TE3;1️⃣
18051;TE4;3️⃣
18051;TE5;3️⃣
18051;TE6;2️⃣
18051;TE7;3️⃣
18051;TE8;🤷‍♂️
18051;TE9;🤷‍♂️
18056;DC1;1️⃣
18056;DC10;3️⃣
18056;DC2;1️⃣
18056;DC3;1️⃣
18056;DC4;1️⃣
18056;DC5;1️⃣
18056;DC6;1️⃣
18056;DC7;2️⃣
18056;DC8;1️⃣
18056;DC9;1️⃣
18056;FI1;3️⃣
18056;FI2;1️⃣
18056;FI3;1️⃣
18056;FI4;1️⃣
18056;FI5;5️⃣
18056;FI6;1️⃣
18056;II2;1️⃣
18056;OE1;1️⃣
18056;OE2;1️⃣
18056;OE3;3️⃣
18056;OE4;1️⃣
18056;OE5;2️⃣
18056;OE6;4️⃣
18056;OE7;1️⃣
18056;OE8;1️⃣
18056;TE1;2️⃣
18056;TE10;3️⃣
18056;TE2;4️⃣
18056;TE3;4️⃣
18056;TE4;3️⃣
18056;TE5;2️⃣
18056;TE6;2️⃣
18056;TE7;4️⃣
18056;TE8;🤷‍♂️
18056;TE9;1️⃣
18057;FI1;2️⃣
18057;FI2;1️⃣
18057;FI3;1️⃣
18057;FI4;1️⃣
18057;FI5;🤷‍♂️
18057;FI6;🤷‍♂️
18059;DC1;2️⃣
18059;DC10;2️⃣
18059;DC2;2️⃣
18059;DC3;1️⃣
18059;DC4;1️⃣
18059;DC5;1️⃣
18059;DC6;2️⃣
18059;DC7;🤷‍♂️
18059;DC8;1️⃣
18059;DC9;1️⃣
18065;FI1;2️⃣
18065;FI2;1️⃣
18065;FI3;5️⃣
18065;FI4;1️⃣
18065;FI5;4️⃣
18065;FI6;4️⃣
18067;DC1;1️⃣
18067;DC10;3️⃣
18067;DC2;1️⃣
18067;DC3;1️⃣
18067;DC4;1️⃣
18067;DC5;1️⃣
18067;DC6;1️⃣
18067;DC7;4️⃣
18067;DC8;2️⃣
18067;DC9;1️⃣
18073;DC1;1️⃣
18073;DC10;3️⃣
18073;DC2;1️⃣
18073;DC3;4️⃣
18073;DC4;1️⃣
18073;DC5;1️⃣
18073;DC6;1️⃣
18073;DC7;1️⃣
18073;DC8;1️⃣
18073;DC9;1️⃣
18073;FI1;1️⃣
18073;FI2;1️⃣
18073;FI3;1️⃣
18073;FI4;1️⃣
18073;FI5;4️⃣
18073;FI6;4️⃣
18090;FI1;3️⃣
18090;FI2;1️⃣
18090;FI3;7️⃣
18090;FI4;4️⃣
18090;FI5;4️⃣
18090;FI6;1️⃣
18091;FI1;2️⃣
18091;FI2;1️⃣
18091;FI3;8️⃣
18091;FI4;2️⃣
18091;FI5;2️⃣
18091;FI6;2️⃣
18092;DC1;1️⃣
18092;DC10;1️⃣
18092;DC2;2️⃣
18092;DC3;2️⃣
18092;DC4;1️⃣
18092;DC5;4️⃣
18092;DC6;3️⃣
18092;DC7;3️⃣
18092;DC8;2️⃣
18092;DC9;2️⃣
18092;FI1;2️⃣
18092;FI2;1️⃣
18092;FI3;🤷‍♂️
18092;FI4;2️⃣
18092;FI5;4️⃣
18092;FI6;2️⃣
18092;II2;2️⃣
18092;OE1;1️⃣
18092;OE2;2️⃣
18092;OE3;4️⃣
18092;OE4;1️⃣
18092;OE5;2️⃣
18092;OE6;1️⃣
18092;OE7;1️⃣
18092;OE8;1️⃣
18092;TE1;2️⃣
18092;TE10;2️⃣
18092;TE2;2️⃣
18092;TE3;🤷‍♂️
18092;TE4;2️⃣
18092;TE5;1️⃣
18092;TE6;2️⃣
18092;TE7;2️⃣
18092;TE8;2️⃣
18092;TE9;3️⃣
18098;DC1;1️⃣
18098;DC10;3️⃣
18098;DC2;2️⃣
18098;DC3;1️⃣
18098;DC4;1️⃣
18098;DC5;4️⃣
18098;DC6;1️⃣
18098;DC7;1️⃣
18098;DC8;1️⃣
18098;DC9;1️⃣
18098;FI1;1️⃣
18098;FI2;4️⃣
18098;FI3;2️⃣
18098;FI4;1️⃣
18098;FI5;3️⃣
18098;FI6;4️⃣
18098;II2;3️⃣
18098;OE1;1️⃣
18098;OE2;1️⃣
18098;OE3;2️⃣
18098;OE4;4️⃣
18098;OE5;1️⃣
18098;OE6;3️⃣
18098;OE7;1️⃣
18098;OE8;1️⃣
18098;TE1;2️⃣
18098;TE10;3️⃣
18098;TE2;1️⃣
18098;TE3;1️⃣
18098;TE4;1️⃣
18098;TE5;2️⃣
18098;TE6;5️⃣
18098;TE7;4️⃣
18098;TE8;3️⃣
18098;TE9;3️⃣
18100;FI1;2️⃣
18100;FI2;1️⃣
18100;FI3;2️⃣
18100;FI4;1️⃣
18100;FI5;1️⃣
18100;FI6;4️⃣
18101;FI1;3️⃣
18101;FI2;1️⃣
18101;FI3;1️⃣
18101;FI4;1️⃣
18101;FI5;5️⃣
18101;FI6;4️⃣
18108;DC1;1️⃣
18108;DC10;3️⃣
18108;DC2;1️⃣
18108;DC3;2️⃣
18108;DC4;1️⃣
18108;DC5;1️⃣
18108;DC6;1️⃣
18108;DC7;1️⃣
18108;DC8;1️⃣
18108;DC9;1️⃣
18108;FI1;4️⃣
18108;FI2;1️⃣
18108;FI3;1️⃣
18108;FI4;1️⃣
18108;FI5;4️⃣
18108;FI6;4️⃣
18108;II2;1️⃣
18109;DC1;1️⃣
18109;DC10;1️⃣
18109;DC2;1️⃣
18109;DC3;1️⃣
18109;DC4;1️⃣
18109;DC5;1️⃣
18109;DC6;1️⃣
18109;DC7;3️⃣
18109;DC8;1️⃣
18109;DC9;1️⃣
18109;FI1;2️⃣
18109;FI2;1️⃣
18109;FI3;3️⃣
18109;FI4;1️⃣
18109;FI5;4️⃣
18109;FI6;3️⃣
18109;II2;4️⃣
18109;OE1;2️⃣
18109;OE2;1️⃣
18109;OE3;1️⃣
18109;OE4;3️⃣
18109;OE5;3️⃣
18109;OE6;4️⃣
18109;OE7;2️⃣
18109;OE8;2️⃣
18109;TE1;2️⃣
18109;TE10;2️⃣
18109;TE2;2️⃣
18109;TE3;3️⃣
18109;TE4;2️⃣
18109;TE5;2️⃣
18109;TE6;1️⃣
18109;TE7;4️⃣
18109;TE8;3️⃣
18109;TE9;3️⃣
18111;II2;1️⃣
18111;OE1;3️⃣
18111;OE2;🤷‍♂️
18111;OE3;2️⃣
18111;OE4;3️⃣
18111;OE5;3️⃣
18111;OE6;4️⃣
18111;OE7;3️⃣
18111;OE8;1️⃣
18115;FI1;1️⃣
18115;FI2;1️⃣
18115;FI3;2️⃣
18115;FI4;1️⃣
18115;FI5;4️⃣
18115;FI6;4️⃣
18116;FI1;1️⃣
18116;FI2;1️⃣
18116;FI3;3️⃣
18116;FI4;1️⃣
18116;FI5;2️⃣
18116;FI6;4️⃣
18118;DC1;1️⃣
18118;DC10;1️⃣
18118;DC2;1️⃣
18118;DC3;2️⃣
18118;DC4;4️⃣
18118;DC5;1️⃣
18118;DC6;1️⃣
18118;DC7;1️⃣
18118;DC8;1️⃣
18118;DC9;1️⃣
18118;FI1;2️⃣
18118;FI2;4️⃣
18118;FI3;1️⃣
18118;FI4;4️⃣
18118;FI5;5️⃣
18118;FI6;1️⃣
18118;II2;2️⃣
18118;OE1;2️⃣
18118;OE2;3️⃣
18118;OE3;🤷‍♂️
18118;OE4;2️⃣
18118;OE5;3️⃣
18118;OE6;2️⃣
18118;OE7;1️⃣
18118;OE8;2️⃣
18118;TE1;4️⃣
18118;TE10;3️⃣
18118;TE2;1️⃣
18118;TE3;1️⃣
18118;TE4;2️⃣
18118;TE5;1️⃣
18118;TE6;2️⃣
18118;TE7;🤷‍♂️
18118;TE8;3️⃣
18118;TE9;3️⃣
18120;DC1;1️⃣
18120;DC10;1️⃣
18120;DC2;1️⃣
18120;DC3;1️⃣
18120;DC4;2️⃣
18120;DC5;1️⃣
18120;DC6;1️⃣
18120;DC7;1️⃣
18120;DC8;2️⃣
18120;DC9;2️⃣
18120;FI1;3️⃣
18120;FI2;1️⃣
18120;FI3;1️⃣
18120;FI4;1️⃣
18120;FI5;4️⃣
18120;FI6;4️⃣
18120;OE1;4️⃣
18120;OE2;🤷‍♂️
18120;OE3;3️⃣
18120;OE4;2️⃣
18120;OE5;1️⃣
18120;OE6;4️⃣
18120;OE7;🤷‍♂️
18120;OE8;1️⃣
18120;TE1;4️⃣
18120;TE10;3️⃣
18120;TE2;2️⃣
18120;TE3;1️⃣
18120;TE4;3️⃣
18120;TE5;2️⃣
18120;TE6;3️⃣
18120;TE7;4️⃣
18120;TE8;3️⃣
18120;TE9;3️⃣
18123;DC1;1️⃣
18123;FI1;1️⃣
18123;FI2;1️⃣
18123;FI3;1️⃣
18123;FI4;1️⃣
18123;FI5;2️⃣
18123;FI6;4️⃣
18123;II2;4️⃣
18123;OE1;1️⃣
18123;OE2;1️⃣
18123;OE3;3️⃣
18123;OE4;4️⃣
18123;OE5;3️⃣
18123;OE6;1️⃣
18123;OE7;2️⃣
18123;OE8;2️⃣
18123;TE1;2️⃣
18123;TE10;3️⃣
18123;TE2;4️⃣
18123;TE3;4️⃣
18123;TE4;4️⃣
18123;TE5;2️⃣
18123;TE6;7️⃣
18123;TE7;3️⃣
18123;TE8;3️⃣
18123;TE9;1️⃣
18131;FI1;3️⃣
18131;FI2;1️⃣
18131;FI3;1️⃣
18131;FI4;1️⃣
18131;FI5;3️⃣
18131;FI6;4️⃣
18131;II2;4️⃣
18137;DC1;2️⃣
18137;DC10;2️⃣
18137;DC2;1️⃣
18137;DC3;1️⃣
18137;DC4;4️⃣
18137;DC5;1️⃣
18137;DC6;1️⃣
18137;DC7;2️⃣
18137;DC8;1️⃣
18137;DC9;3️⃣
18137;FI1;3️⃣
18137;FI2;1️⃣
18137;FI3;1️⃣
18137;FI4;1️⃣
18137;FI5;3️⃣
18137;FI6;4️⃣
18137;II2;1️⃣
18137;OE1;2️⃣
18137;OE2;2️⃣
18137;OE3;2️⃣
18137;OE4;2️⃣
18137;OE5;3️⃣
18137;OE6;4️⃣
18137;OE7;1️⃣
18137;OE8;2️⃣
18137;TE1;4️⃣
18137;TE10;3️⃣
18137;TE2;1️⃣
18137;TE3;1️⃣
18137;TE4;2️⃣
18137;TE5;3️⃣
18137;TE6;2️⃣
18137;TE7;4️⃣
18137;TE8;3️⃣
18137;TE9;2️⃣
18139;DC1;2️⃣
18139;DC10;3️⃣
18139;DC2;3️⃣
18139;DC3;1️⃣
18139;DC4;1️⃣
18139;DC5;1️⃣
18139;DC6;1️⃣
18139;DC7;1️⃣
18139;DC8;2️⃣
18139;DC9;1️⃣
18139;FI1;3️⃣
18139;FI2;🤷‍♂️
18139;FI3;3️⃣
18139;FI4;1️⃣
18139;FI5;5️⃣
18139;FI6;4️⃣
18139;OE1;1️⃣
18139;OE2;2️⃣
18139;OE3;2️⃣
18139;OE4;4️⃣
18139;OE5;3️⃣
18139;OE6;2️⃣
18139;OE7;1️⃣
18139;OE8;2️⃣
18139;TE1;1️⃣
18139;TE10;3️⃣
18139;TE2;3️⃣
18139;TE3;4️⃣
18139;TE4;4️⃣
18139;TE5;2️⃣
18139;TE6;1️⃣
18139;TE7;4️⃣
18139;TE8;🤷‍♂️
18139;TE9;1️⃣
18141;DC1;1️⃣
18141;DC10;1️⃣
18141;DC2;3️⃣
18141;DC3;1️⃣
18141;DC4;1️⃣
18141;DC5;1️⃣
18141;DC6;4️⃣
18141;DC7;4️⃣
18141;DC8;2️⃣
18141;DC9;4️⃣
18141;FI1;4️⃣
18141;FI2;4️⃣
18141;FI3;4️⃣
18141;FI4;1️⃣
18141;FI5;1️⃣
18141;FI6;1️⃣
18141;OE1;3️⃣
18141;OE2;1️⃣
18141;OE3;3️⃣
18141;OE4;1️⃣
18141;OE5;3️⃣
18141;OE6;4️⃣
18141;OE7;1️⃣
18141;OE8;1️⃣
18141;TE1;4️⃣
18141;TE10;2️⃣
18141;TE2;1️⃣
18141;TE3;1️⃣
18141;TE4;3️⃣
18141;TE5;1️⃣
18141;TE6;5️⃣
18141;TE7;4️⃣
18141;TE8;3️⃣
18141;TE9;3️⃣
18156;DC1;1️⃣
18156;DC10;2️⃣
18156;DC2;3️⃣
18156;DC3;2️⃣
18156;DC4;1️⃣
18156;DC5;1️⃣
18156;DC6;3️⃣
18156;DC7;1️⃣
18156;DC8;1️⃣
18156;DC9;3️⃣
18156;FI1;2️⃣
18156;FI2;1️⃣
18156;FI3;🔟
18156;FI4;1️⃣
18156;FI5;4️⃣
18156;FI6;1️⃣
18156;OE1;2️⃣
18156;OE2;2️⃣
18156;OE3;3️⃣
18156;OE4;1️⃣
18156;OE5;2️⃣
18156;OE6;4️⃣
18156;OE7;3️⃣
18156;OE8;1️⃣
18163;DC1;1️⃣
18163;DC10;2️⃣
18163;DC2;🤷‍♂️
18163;DC3;1️⃣
